ID,Pol,Godine,SkolaPoTipu,SkolaPoRegionu,Uspeh,EkonomskiPolozaj,ImaKomp,ZadovoljanPristupom,KolikoDugo,KolikoNedeljno,KolikNajduze,Predhodnih6meseci,DaMozeDaLiBi,Sadrzaj1,Sadrzaj2,Sadrzaj3,Sadrzaj4,Sadrzaj5,Sadrzaj6,Sadrzaj7,Sadrzaj8,Sadrzaj9,Sadrzaj10,Sadrzaj11,Sadrzaj12,Sadrzaj13,Aktivnost1,Aktivnost2,Aktivnost3,Aktivnost4,Aktivnost5,Aktivnost6,Aktivnost7,Aktivnost8,Aktivnost9,Aktivnost10,Aktivnost11,Aktivnost12,Aktivnost13,Aktivnost14,BrojaMailovaPrim,BrojaMailovaPosl,ZaStaMail,DaLiSvakodnevnoFb,ImaNemaFB,BrojaSatiFB,FBcitaPostove,FBpiseStatuse,FBdeliMuzikuFotografijeIsl,FBigraIgrice,FBcetuje,FBgrupe,Komunikacija1,Komunikacija2,Komunikacija3,Komunikacija4,FizAkt1,FizAkt2,FizAkt3,EnergetskoP1,EnergetskoP2,Grickalice,Pusac,PusacKolikoGodina,PusacKolikoCigareta,Kafa_bin,Alkohol_bin,DaLiSeDrogira,TEMPS1,TEMPS2,TEMPS3,TEMPS4,TEMPS5,TEMPS6,TEMPS7,TEMPS8,TEMPS9,TEMPS10,TEMPS11,TEMPS12,TEMPS13,TEMPS14,TEMPS15,TEMPS16,TEMPS17,TEMPS18,TEMPS19,TEMPS20,TEMPS21,TEMPS22,TEMPS23,TEMPS24,TEMPS25,TEMPS26,TEMPS27,TEMPS28,TEMPS29,TEMPS30,TEMPS31,TEMPS32,TEMPS33,TEMPS34,TEMPS35,TEMPS36,Depresivan,Ciklotimicni,Hipertimicni,Iritabilni,Anksiozni,Temper_bin,Internet1,Internet2,Internet3,Internet4,Internet5,Internet6,Internet7,Internet8,Internet9,Internet10,Internet11,Internet12,Internet13,Internet14,Internet15,Internet16,Internet17,Internet18,NKP,PI,SPO,PUI,PUIcutoff,CutOff3940,CutOff4950
1333,1,17,2,5,3, ,0,1,6,1,2,2,1,1,1,5,1,1,3,1,1,5,1,1,4,1,4,5,1,1,3,1,1,3,1,1,1,5,5,1,0,0,2,1,1,24,1,1,1,1,1,1, , , , ,7,1, ,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0.285714286,1,0.875,1,0.428571429,0,4,2,5,1,5,2,5,5,3,1,1,1,1,5,4,1,1,1,27,17,4,48,1,1,0
1334,1,17,2,5,4,5, ,1, ,0,0,1,0,2,1,4,2,3,4,4,1,5,5,5,3,4,3,5,4,5,5,4,2,5,5,2,5,5,5,2,0,0,0,1,1,3,1,1,1,0,1,0,1,1,2,1,4,1,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.285714286,1,0,0.285714286,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,10,7,4,21,0,0,0
1335,0,16,2,5,3,3,0,1,3,0,0,0,1,2,2,5,3,4,4,3,1,3,2,4,4,3,3,4,2, ,4,3,2,4,3,3,2,4,3,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,3,2,5,2,60,1,200,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.142857143,0.571428571,0.875,0.142857143,0,1,3,3,4,4,5,4,3,4,2,4,4,4,4,5,4,5,4,5,33,22,16,71,1,1,1
1336,1,16,2,5,3,3,0,1,3,0,0,2,1,1,1,3,2,2,2,3,1,5,2,2,2,2,5,5,2,3,4,4,2,4,5,3,5,4,3,2,1,1,1,1,1,4,0,0,0,0,0,1,2,1,2,2,2,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0.285714286,0.875,0,0.428571429,1,2,1,3,1,2,2,1,2,2,1,1,1,1,2,2,2,1,1,13,11,4,28,0,0,0
1337,0,17,2,5,4,3,0,1,3,0,0,1,0,4,3,3,2,3,3,4,4,5,3,4,3,3,5,4, ,2,4,3,3,4,5,3,2,4,3,3, ,1,1,1,1,2,0,0,0,0,1,0,1,2,3,2,4,1,60,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0.285714286,0.571428571,1,0.571428571,0.285714286,1,3,2,2,3,2,3,2,1,1,2,3,2,4,1,2,2,2,2,17,11,11,39,1,0,0
1338,1,17,2,5,4,3,0,0,5,0,0,0,0,1,1,3,1,3,4,4,1,5,3,3,4,3,2,5,2,3,5,3,1,4,4,2,4,5,3,1,0,0,0,1,1,2,1,0,0,0,1,1,1,1,3,1,5,1,60,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0.285714286,0.857142857,1,0.285714286,0.428571429,1,1,3,1,1,1,1,1,1,1,2,2,1,3,2,1,1,1,1,9,8,8,25,0,0,0
1340,1,16,2,5,4,5, ,1, ,0,0,1,0, , ,3, , ,3, , ,4, , , , ,2,5, , , , , ,3,5, , , , , ,1,1,2,1,1, ,0,0,1,0,0,0,1,2,2,2,4,1, ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.428571429,0.875,0,0,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,9,6,5,20,0,0,0
1341,1,17,2,5,5, ,0,1, ,0,0,1,0,1,1,3,2,4,3,2, ,2,2,3,5,3,2,3, , , , ,1,3,2,2,3,3,4, ,0,0,0,1,1,0.2,0,0,0,0,1,1, , , , ,5,1,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.142857143,0.285714286,1,0,0.285714286,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,6,4,18,0,0,0
1342,1,17,2,5,5,4,0,1,5,1,2,1,1,1,1,2,1,1,1,1,2,5,2,2,1,2,3,5,1,4,4,5,1,2,4,4,4,5,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,3,1,2,1,30,1,100,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.142857143,0.857142857,0.75,1,0.857142857,0,4,2,1,1,3,3,2,1,1,4,4,2,2,2,3,2,1,2,17,12,11,40,1,1,0
1343,1,16,2,5,5,5,0,1,5,0,0,2,1,1,1,2,2,2,1,2,1,5,3,4,3,2,3,5,2,2,4,4,2,3,3,4,3,4,4,2,0,1,2,1,1,5,0,0,0,0,1,0,1,1,3,1,2,1,30,1, ,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1,0,1,1,1,0,0.285714286,0.714285714,0.75,0.571428571,0.714285714,1,3,3,1,2,2,4,4,1,2,3,4,1,1,4,2,3,2,1,18,15,10,43,1,1,0
