ID,Pol,Godine,SkolaPoTipu,SkolaPoRegionu,Uspeh,EkonomskiPolozaj,ImaKomp,ZadovoljanPristupom,KolikoDugo,KolikoNedeljno,KolikNajduze,Predhodnih6meseci,DaMozeDaLiBi,Sadrzaj1,Sadrzaj2,Sadrzaj3,Sadrzaj4,Sadrzaj5,Sadrzaj6,Sadrzaj7,Sadrzaj8,Sadrzaj9,Sadrzaj10,Sadrzaj11,Sadrzaj12,Sadrzaj13,Aktivnost1,Aktivnost2,Aktivnost3,Aktivnost4,Aktivnost5,Aktivnost6,Aktivnost7,Aktivnost8,Aktivnost9,Aktivnost10,Aktivnost11,Aktivnost12,Aktivnost13,Aktivnost14,BrojaMailovaPrim,BrojaMailovaPosl,ZaStaMail,DaLiSvakodnevnoFb,ImaNemaFB,BrojaSatiFB,FBcitaPostove,FBpiseStatuse,FBdeliMuzikuFotografijeIsl,FBigraIgrice,FBcetuje,FBgrupe,Komunikacija1,Komunikacija2,Komunikacija3,Komunikacija4,FizAkt1,FizAkt2,FizAkt3,EnergetskoP1,EnergetskoP2,Grickalice,Pusac,PusacKolikoGodina,PusacKolikoCigareta,Kafa_bin,Alkohol_bin,DaLiSeDrogira,TEMPS1,TEMPS2,TEMPS3,TEMPS4,TEMPS5,TEMPS6,TEMPS7,TEMPS8,TEMPS9,TEMPS10,TEMPS11,TEMPS12,TEMPS13,TEMPS14,TEMPS15,TEMPS16,TEMPS17,TEMPS18,TEMPS19,TEMPS20,TEMPS21,TEMPS22,TEMPS23,TEMPS24,TEMPS25,TEMPS26,TEMPS27,TEMPS28,TEMPS29,TEMPS30,TEMPS31,TEMPS32,TEMPS33,TEMPS34,TEMPS35,TEMPS36,Depresivan,Ciklotimicni,Hipertimicni,Iritabilni,Anksiozni,Temper_bin,Internet1,Internet2,Internet3,Internet4,Internet5,Internet6,Internet7,Internet8,Internet9,Internet10,Internet11,Internet12,Internet13,Internet14,Internet15,Internet16,Internet17,Internet18,NKP,PI,SPO,PUI,PUIcutoff,CutOff3940,CutOff4950
1344,1, ,2,5,4,3,0,0,6,0,0,2,0,1,1,3,1,1,2,1,1,5,1,4,2,2,1, ,2,3,3,1,1,3,3,2,1,1,2,1,0,0,0,0,1,0.15,0,0,1,0,0,0,2, ,2, ,5,1,60,1, ,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,0,0.285714286,0.857142857,0.5,0.571428571,0.571428571,0,2,1,1,1,2,1,1,1,1,2,2,1,1,2,3,2,1,1,11,9,6,26,0,0,0
1345,1,17,2,5,3,4,0,1,5,0,0,2,1,1,1,1,1,1,3,1,1,5,5,5,1,5,5,5,2,1,2,2,1,5,1,1,1,4,4,2, ,0,2,1,1,5,0,1,0,0,0,0,0,1,3,1,3,2,60,1,200,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0.285714286,1,1,1,0.285714286,1,5,1,1,2,1,4,2,1,1,2,1,1,1,5,2,3,2,3,20,12,6,38,0,0,0
1346,1,17,2,5,3,3,0,1,10,1,0,1,0,1,1,2,1,1,1,1,1,5,2,2,1,2,2,5,1,1,4,2,1,5,3,4,1,5,5,2,0,0,1,1,1,7,0,0,1,0,1,0,1,3,2,3,2,1,120,1, ,1,0,0,0,1,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0.571428571,1,0.75,1,0.714285714,0,5,5,4,4,4,4,4,3,3,2,3,5,4,5,5,5,4,4,35,25,13,73,1,1,1
1347,1,16,2,5,3,3,0,1,7,1,0,1,0,1,1,3,1,1,1,1,2,5,1,2,2,1,1,5,1,1,2,2,1,5,3,4,1,3,3,1,0,1,1,1,1,7,0,0,0,1,1,0,1,3,2,3,4,1,120,1, ,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0.571428571,1,0.75,1,0.714285714,0,5,5,3,4,4,4,3,3,1,1,1,2,2,5,5,5,4,4,30,23,8,61,1,1,1
1348,1,16,2,5,4,3,0,0,10,0,1,2,0,1,1,3,1,3,5,2,1,5,2,4,3,2, ,4,1,1,5,5,2, ,3,4,3,5,5,3,0,0,2,0,1,1,0,0,0,1,0,0,1,1,3,3,2,1,10,1,300,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,0,0.285714286,0.714285714,0.625,0.571428571,0.714285714,0,3,2,2,1,2,1,1,1,1,1,1,2,1,4,3,4,1,1,16,12,4,32,0,0,0
1349,1,16,2,5,5,5,0,0,5,0,0,1,1,1,1,2,3,2,1,1,1,5,3,4,2,3,3,5,1,2,4,2,1,3,4,4,3,5,3,1,0,0,2,1,1,5,0,0,0,0,1,0,1,1,3,1,2,1,30,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0.285714286,0.142857143,0.75,0.714285714,0.857142857,0,3,4,5,1,2,2,1,1,1,1,2,1,1,5,3,3,1,2,20,14,5,39,1,0,0
1350,1,16,2,5,4,4,0,1,6,0,0,1,0,2,1,3,1,3,3,3,1,5,3,4,3,3,2,5,1,5,5,3,1,5,5,3,5,5,4,1,0,0,0,1,1,6,1,1,1,0,1,0,1, ,1, ,3,2,60,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0.571428571,0.571428571,0.875,0.857142857,0.714285714,1,4,2,4,5,3,2,2,1,1,1,1,3,1,5,3,4,3,4,30,13,6,49,1,1,0
1351,1,17,2,5,3,3,0,0, ,0,0,0,0,1,1,1,1, ,3,1,1,3,1,3,2,2,3,3,1, ,4,1,1,4,2,3, ,2,2,1,1, , ,0,1, ,0,0,0,1,0,0,0,1,1,1,2, , ,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,1,0,0.142857143,1,0.75,0.428571429,0.571428571,0,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,10,7,4,21,0,0,0
1353,1,17,2,5,5,5,0,1,3,0,0,1,0,1,1,2,1,3,3,2,1,5,3,4,3,2,1,3,1,3,4,2,1,4,3,1,3,2,4, ,0,0, ,1,1,1,0,0,0,0,1,0,2,1,1,1,2,2,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,1,0.875,0.857142857,0.428571429,0,3,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2,2,1,12,7,5,24,0,0,0
1354,0,17,2,5,3, ,0,1, , , ,1,0, , , , , , , , , , , , , ,1,3,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1, ,0,0,0,0,0,0, , , , ,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,6,4,19,0,0,0
1355,1,17,2,5,5, , ,1, ,0,1,0,0,1,1,3, ,4,3,1,1,5,1,5,2,3,5,4,1,1,4,3,1,4,4,3,4,4,4,4,1,1,1,1,1,3,0,0,0,0,1,1,1,2,2,2,5,2,60,1, ,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0.142857143,0.285714286,1,0.571428571,0.142857143,1,2,1,1,1,2,2,1,1,1,1,1,2,1,2,2,4,1,1,12,11,4,27,0,0,0
1356,1,16,2,5,5,5,0,1,4,0,0,1,0,1,1,3,2,1,5,1,1,5,3,3,3,2,5,5,1,3,5,5,3,5,2,3,2,5,5,1,0,0,1,1,1,5,0,1,1,0,1,0,1,2,3,1,1,1,15,1,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0.285714286,0.625,0,0.714285714,0,3,2,2,1,1,1,1,1,1,3,1,1,2,2,2,3,1,1,12,10,7,29,0,0,0
1357,1,16,2,5,4,3,0,1,7,0,0,2,0,2,1,4,2,5,5,3,1,5,4,5,3,2,5,5,3,5,5,4,2,5,4,3,5,4,5,4,0,0,1,1,1,2,1,1,1,0,1,0,1,3,2,2,2,1,30,1,100,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0.142857143,0.571428571,0.875,0.857142857,0.714285714,1,4,1,3,2,4,2,4,1,1,2,1,1,1,4,1,3,1,2,24,9,5,38,0,0,0
1358,1,17,2,5,5,3,0,1,7,0,0,2,0,2,1,4,2,4,5,3,1,5,4,5,3,2,5,5,3,5,5,4,2,5,4,3,5,4,5,4,0,0,1,1,1,2,1,1,1,0,1,1,1,2,3,2,2,1,30,1,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,1,1,0,1,1,0,0,0.714285714,0.625,0.714285714,0.714285714,0,2,1,2,1,1,1,1,1,2,2,1,1,2,2,1,4,1,1,11,10,6,27,0,0,0
1359,1,16,2,5,3,5,0,1,2,0,0,2,0,1,1,3,2,1,3,1,1,4,2,2,2,1,3,4,1,3,3,2,1,4,3,1,1,4,4,1,0,0,1,0,1,1,0,0,0,0,0,1,2,1,2,1,3,1,45,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0.571428571,0.875,0.571428571,0.714285714,1,2,3,4,1,1,1,3,2,1,1,1,1,3,4,3,2,1,1,17,12,6,35,0,0,0
1360,0,17,2,5,3,5,0,1,8,0,0,2,0,1,2,4,3,2,1,1,1,5,2,1,2,3,3,2,1,2,3,2,1,5,3,5,2,5,1,2,1,1,1,1,1,5,0,0,1,0,0,0,0,2,3,2,4,2,45,1,20,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0.142857143,0.571428571,0.875,0.285714286,0.142857143,1,2,1,2,3,1,1,1,1,1,2,3,1,2,3,1,2,2,1,14,7,9,30,0,0,0
1361,1, ,2,5,3,2,0,1,3,0,0,0,0,1,1,4,1,3,2,2,1,5,3,3,2,3,4,5,1,2,4,4,1,5,3,1,3,5,5,1,1,1,2,1,1,4,0,1,1,0,1,1,0,2,1,1,3,1,60,1, ,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1,1,0.142857143,0.571428571,0.875,0.714285714,0.571428571,1,4,2,1,2,2,2,3,1,1,2,2,2,2,3,3,3,2,2,19,12,8,39,1,0,0
1362,1,16,2,5,3,2,0,1,5,0,0,0,0,1,1,1,1,3,2,1,1,4,1,2,2,3,4,4,1, , ,4,1,5,2,1,3,5,5,1,1,1,2,1,1,3,0,1,1,0,1,1,0,2,1,1,3,1,60,1, ,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0.142857143,0.714285714,0.875,0.857142857,0.714285714,1,4,2,1,2,3,3,2,1,1,3,2,3,2,4,3,3,2,3,22,13,9,44,1,1,0
